parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT3146,"OPP",0,3475,-3475,-3475,1
PT3147,"PT3147",57,0,57,57,1
PT3153,"PT3153",190,0,190,190,1
PT3154,"PT3154",436,102,334,334,4
PT3186,"PT3186",103,0,103,103,1
PT3193,"PT3193",0,2438,-2438,-2438,1
PT3200,"캐리미와인잔(컵부분)",0,304,-304,-304,1
PT3201,"캐리미와인잔(받침대)_투명",0,304,-304,-304,1
PT3203,"PT3203",0,101,-101,-101,1
PT3230,"PT3230",382,176,206,206,6
PT3237,"양면테이프_본품",0,5665,-5665,-5665,1
PT3238,"양면테이프_리필",0,5695,-5695,-5695,1
PT3259,"PT3259",343,212,131,131,3
PT3282,"PT3282",240,800,-560,-560,3
PT3285,"PT3285",201,707,-506,-506,3
PT3291,"PT3291",1640,1100,540,540,3
PT3292,"PT3292",0,3622,-3622,-3622,2
PT3295,"PT3295",1618,1060,558,558,3
PT3298,"PT3298",1157,1157,0,0,12
PT3318,"PT3318",434,333,101,101,5
PT3320,"PT3320",2414,1662,752,752,5
PT3322,"PT3322",0,1508,-1508,-1508,2
PT3323,"페이퍼G형박스(전용)_웜그레이+블랙인쇄",0,112,-112,-112,1
PT3325,"PT3325",1100,4986,-3886,-3886,14
PT3331,"테크미니파우치",1100,7897,-6797,-6797,14
PT3338,"OPP",0,6016,-6016,-6016,1
PT3339,"핸디링미니선풍기_화이트",1085,9383,-8298,-8298,6
PT3341,"PT3341",0,3524,-3524,-3524,1
PT3343,"PT3343",200,540,-340,-340,5
PT3344,"펄프박스_바디_그레이",450,1179,-729,-729,5
PT3345,"띠지밴드_그레이",0,736,-736,-736,1
PT3347,"텀블러류지지박스_그레이",505,636,-131,-131,4
PT3348,"PT3348",0,3643,-3643,-3643,2
PT3349,"PT3349",0,2190,-2190,-2190,1
PT3354,"단품박스(스탠다드)_화이트",0,721,-721,-721,1
PT3355,"사각스티커(전용)(QR덧방)",0,688,-688,-688,1
PT3358,"주의사항스티커(전용)_화이트+디지털풀컬러",0,148,-148,-148,1
PT3359,"OPP",500,810,-310,-310,3
PT3360,"표시사항스티커(전용)",0,770,-770,-770,2
PT3361,"OPP",0,103,-103,-103,1
PT3363,"바닥지_화이트+옵셋풀컬러",0,719,-719,-719,1
PT3365,"PT3365",0,5407,-5407,-5407,2
PT3366,"PT3366",500,3365,-2865,-2865,4
PT3368,"OPP",1000,1570,-570,-570,3
PT3369,"PT3369",0,3991,-3991,-3991,5
PT3370,"단품박스(스탠다드)_화이트",100,1664,-1564,-1564,6
PT3387,"PT3387",51,51,0,202,2
PT3389,"PT3389",0,1808,-1808,-1808,1
PT3390,"PT3390",0,4906,-4906,-4906,1
PT3391,"페이퍼G형박스(Small)_블랙",500,818,-318,-318,6
